Transaction Date,Post Date,Description,Category,Amount,Custom Category,User,Group
10/1/23,10/3/23,MR COCONUT-AMK HUB,Dining,-1.4,Shopping,Both,
10/1/23,10/2/23,FAIRPRICE XTRA-AMK,Merchandise,-12.86,Groceries,Both,
10/1/23,10/2/23,FAIRPRICE XTRA-AMK,Merchandise,-15.93,Groceries,Both,
10/2/23,10/2/23,CAPITAL ONE MOBILE PYMT,Payment/Credit,585.17,Payment,Both,
9/28/23,9/30/23,FAIRPRICE XTRA-AMK,Merchandise,-2.21,Groceries,Both,
9/29/23,9/30/23,COLD STORAGE-APERIA,Merchandise,-24.25,Groceries,Both,
9/27/23,9/28/23,FAIRPRICE XTRA-AMK,Merchandise,-4.29,Groceries,Both,
9/24/23,9/25/23,FAIRPRICE XTRA-AMK,Merchandise,-16.8,Groceries,Both,
9/18/23,9/19/23,FAIRPRICE XTRA-AMK,Merchandise,-36.35,Groceries,Both,
9/9/23,9/11/23,INTERMISSION BAR,Dining,-4.41,Food,Both,
9/8/23,9/9/23,FAIRPRICE XTRA-AMK,Merchandise,-33.58,Groceries,Both,
9/8/23,9/9/23,THE PROJECTOR,Entertainment,-23.12,Entertainment,Both,
9/5/23,9/6/23,FAIRPRICE XTRA-AMK,Merchandise,-6.46,Groceries,Both,
9/4/23,9/5/23,SHAW CONCESSIONS LIDO,Dining,-6.83,Entertainment,Both,
9/2/23,9/4/23,MCDONALD'S (AMK),Dining,-8.69,Food,Both,
9/4/23,9/4/23,Shaw Theatres PL shaw.,Entertainment,-17.82,Entertainment,Both,
9/1/23,9/1/23,CAPITAL ONE MOBILE PYMT,Payment/Credit,500,Payment,Both,
8/30/23,8/31/23,FAIRPRICE XTRA-AMK,Merchandise,-20.92,Groceries,Both,
8/30/23,8/31/23,JOLLIBEAN - AMK HUB,Dining,-1.48,Food,Both,
8/29/23,8/30/23,FAIRPRICE XTRA-AMK,Merchandise,-4.4,Groceries,Both,
8/28/23,8/30/23,FAIRPRICE XTRA-AMK,Merchandise,-4.15,Groceries,Both,
8/29/23,8/30/23,MR COCONUT-AMK HUB,Dining,-8.87,Food,Both,
8/26/23,8/28/23,MCDONALD'S (AMK),Dining,-4.4,Food,Both,
8/26/23,8/28/23,CHICHA SAN CHEN - AMK,Dining,-9.47,Food,Both,
8/26/23,8/28/23,FAIRPRICE XTRA-AMK,Merchandise,-16.78,Groceries,Both,
8/26/23,8/28/23,HEAVENLYWANG @ HWAH,Dining,-2.07,Food,Both,
8/23/23,8/24/23,FAIRPRICE XTRA-AMK,Merchandise,-18.32,Groceries,Both,
8/20/23,8/22/23,HEAVENLYWANG @ HWAH,Dining,-2.07,Food,Both,
8/20/23,8/21/23,STUFF'D AMK HUB,Dining,-12.69,Food,Both,
8/19/23,8/21/23,MCDONALD'S (AMK),Dining,-10.78,Food,Both,
8/20/23,8/21/23,FAIRPRICE XTRA-AMK,Merchandise,-2.95,Groceries,Both,
8/17/23,8/18/23,FAIRPRICE XTRA-AMK,Merchandise,-6.09,Groceries,Both,
8/10/23,8/11/23,ADIK KECIL ZIBIRU PT-H,Dining,-27.9,Bali,Both,
8/9/23,8/10/23,PENNY LANE,Dining,-25.67,Bali,Both,
8/7/23,8/8/23,FAIRPRICE XTRA-AMK,Merchandise,-25.03,Groceries,Both,
8/5/23,8/7/23,MCDONALD'S (AMK),Dining,-10.18,Food,Both,
8/6/23,8/7/23,MARKS & SPENCER - ORP,Merchandise,-8.31,Groceries,Both,
8/5/23,8/7/23,FAIRPRICE XTRA-AMK,Merchandise,-15.26,Groceries,Both,
8/4/23,8/5/23,FAIRPRICE XTRA-AMK,Merchandise,-8.44,Groceries,Both,
8/3/23,8/3/23,ELECTRONIC PAYMENT,Payment/Credit,1000,Payment,Both,
7/29/23,7/31/23,MCDONALD'S (AMK),Dining,-10.88,Food,Both,
7/30/23,7/31/23,FAIRPRICE XTRA-AMK,Merchandise,-9,Groceries,Both,
7/29/23,7/31/23,HEYTEA MBS,Dining,-5.42,Food,Both,
7/29/23,7/31/23,FAIRPRICE XTRA-AMK,Merchandise,-9.12,Groceries,Both,
7/28/23,7/29/23,FAIRPRICE XTRA-AMK,Merchandise,-3.03,Groceries,Both,
7/25/23,7/26/23,FAIRPRICE XTRA-AMK,Merchandise,-26.37,Groceries,Both,
7/23/23,7/25/23,TOAST BOX - AMK HUB,Dining,-2.87,Food,Both,
7/22/23,7/24/23,BIRDS OF PARADISE,Dining,-5.13,Food,Both,
7/22/23,7/24/23,DON DON DONKI,Merchandise,-9.73,Groceries,Both,
7/22/23,7/22/23,Kohi Coffee Joo Chiat,Dining,-6.03,Food,Both,
7/21/23,7/22/23,FAIRPRICE XTRA-AMK,Merchandise,-8.06,Groceries,Both,
7/16/23,7/17/23,THE PROJECTOR,Entertainment,-46.7,Entertainment,Both,
7/15/23,7/17/23,FAIRPRICE XTRA-AMK,Merchandise,-61.76,Groceries,Both,
7/14/23,7/15/23,7-ELEVEN-BAYFRONT MRT,Merchandise,-2.5,Food,Both,
7/12/23,7/13/23,FR WISMA-HENIU TEPPANY,Dining,-21.34,Food,Both,
7/10/23,7/11/23,FAIRPRICE XTRA-AMK,Merchandise,-7.08,Groceries,Both,
7/9/23,7/10/23,FAIRPRICE XTRA-AMK,Merchandise,-8.17,Groceries,Both,
7/8/23,7/10/23,FAIRPRICE XTRA-AMK,Merchandise,-23.26,Groceries,Both,
7/7/23,7/8/23,SINGPOST - AMK CENTRAL,Utilities,-1062.67,Entertainment,Both,
7/5/23,7/6/23,FAIRPRICE XTRA-AMK,Merchandise,-2.78,Groceries,Both,
7/3/23,7/4/23,FAIRPRICE XTRA-AMK,Merchandise,-10.14,Groceries,Both,
7/2/23,7/3/23,PROJECTOR X :PICTUREHO,Entertainment,-9.62,Entertainment,Both,
7/2/23,7/3/23,PROJECTOR X :PICTUREHO,Entertainment,-10.36,Entertainment,Both,
7/1/23,7/3/23,PROJECTOR X :PICTUREHO,Entertainment,-4.44,Entertainment,Both,
7/2/23,7/3/23,PROJECTOR X PTE LTD,Entertainment,-35.15,Entertainment,Both,
7/1/23,7/3/23,FAIRPRICE XTRA-AMK,Merchandise,-20.79,Groceries,Both,
7/1/23,7/3/23,PROJECTOR X PTE LTD,Entertainment,-23.31,Entertainment,Both,
6/29/23,6/30/23,PROJECTOR X :PICTUREHO,Entertainment,-29.66,Entertainment,Both,
6/29/23,6/30/23,PROJECTOR X PTE LTD,Entertainment,-23.36,Entertainment,Both,
6/27/23,6/28/23,FAIRPRICE XTRA-AMK,Merchandise,-10.19,Groceries,Both,
6/25/23,6/27/23,STARBUCKS@WHEELOCK(WLK,Dining,-6.33,Food,Both,
6/25/23,6/27/23,ISETAN (SUPERMARKET),Merchandise,-5.95,Groceries,Both,
6/24/23,6/26/23,FAIRPRICE XTRA-AMK,Merchandise,-14.04,Groceries,Both,
6/23/23,6/24/23,FAIRPRICE XTRA-AMK,Merchandise,-26.89,Groceries,Both,
6/22/23,6/23/23,SPA HAVEN PTE. LTD.,Other Services,-402.53,Shopping,Both,
6/22/23,6/23/23,LITTLE FARMS-TANGLIN M,Dining,-49.59,Food,Both,
6/22/23,6/22/23,WWW.STATEOFAFFAIRS.SG,Dining,-9.69,Food,Both,
