Transaction Date,Post Date,Description,Category,Amount,Custom Category,User,Group
3/7/24,3/7/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
3/3/24,3/7/24,BUS/MRT 400154739,Travel,-2.93,Transport,Kevin,
3/7/24,3/7/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-1.34,Fees,Kevin,
3/7/24,3/7/24,UrbanCompany,Repair & Maintenance,-44.88,Misc,Kevin,
3/7/24,3/7/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.02,Fees,Kevin,
3/6/24,3/7/24,CURATE KITCHEN,Food & Drink,-0.75,Food,Kevin,
3/6/24,3/6/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.03,Fees,Kevin,
3/5/24,3/6/24,CURATE KITCHEN,Food & Drink,-1.12,Food,Kevin,
3/6/24,3/6/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.18,Fees,Kevin,
3/2/24,3/6/24,BUS/MRT 399687111,Travel,-6.2,Transport,Kevin,
3/6/24,3/6/24,Payment Thank You Bill Pa,,2000,Payment,,
3/5/24,3/5/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.07,Fees,Kevin,
2/29/24,3/5/24,BUS/MRT 398590012,Travel,-2.62,Transport,Kevin,
3/5/24,3/5/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
3/1/24,3/5/24,BUS/MRT 399164483,Travel,-2.91,Transport,Kevin,
3/4/24,3/4/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
3/3/24,3/4/24,FAIRPRICE XTRA-AMK,Food & Drink,-1.64,Groceries,Both,
3/4/24,3/4/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.1,Fees,Kevin,
3/3/24,3/4/24,CHICHA SAN CHEN - AMK HUB,Food & Drink,-3.57,Food,Kevin,
3/4/24,3/4/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.73,Fees,Kevin,
3/3/24,3/4/24,FAIRPRICE XTRA-AMK,Food & Drink,-24.66,Groceries,Both,
3/3/24,3/3/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.11,Fees,Kevin,
2/27/24,3/3/24,BUS/MRT 397525479,Travel,-3.71,Transport,Kevin,
3/3/24,3/3/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
3/1/24,3/3/24,CURATE KITCHEN,Food & Drink,-1.64,Food,Kevin,
3/3/24,3/3/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
3/1/24,3/3/24,SINGPOST - TOWNER,Office & Shipping,-1.49,Business,Mon,
3/3/24,3/3/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-1.14,Fees,Kevin,
3/2/24,3/3/24,OPN*CDG DrivingCentre,Education,-38.12,Misc,Kevin,
3/3/24,3/3/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.68,Fees,Kevin,
3/1/24,3/3/24,FAIRPRICE XTRA-AMK,Food & Drink,-22.7,Groceries,Both,
3/3/24,3/3/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/28/24,3/3/24,BUS/MRT 398047320,Travel,-2.88,Transport,Kevin,
3/1/24,3/1/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.06,Fees,Kevin,
2/29/24,3/1/24,CURATE KITCHEN,Food & Drink,-2.23,Food,Kevin,
3/1/24,3/1/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.02,Fees,Kevin,
2/28/24,3/1/24,CURATE KITCHEN,Food & Drink,-0.75,Food,Kevin,
3/1/24,3/1/24,Payment Thank You-Mobile,,500,Payment,,
3/1/24,3/1/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/26/24,3/1/24,BUS/MRT 397039853,Travel,-2.87,Transport,Kevin,
2/29/24,2/29/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.02,Fees,Kevin,
2/28/24,2/29/24,CURATE KITCHEN,Food & Drink,-0.75,Food,Kevin,
2/29/24,2/29/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.09,Fees,Kevin,
2/25/24,2/29/24,BUS/MRT 396343357,Travel,-3.06,Transport,Kevin,
2/28/24,2/28/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.02,Fees,Kevin,
2/26/24,2/28/24,CURATE KITCHEN,Food & Drink,-0.75,Food,Kevin,
2/28/24,2/28/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.06,Fees,Kevin,
2/27/24,2/28/24,CURATE KITCHEN,Food & Drink,-2.23,Food,Kevin,
2/28/24,2/28/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.09,Fees,Kevin,
2/24/24,2/28/24,BUS/MRT 395992836,Travel,-3.06,Transport,Kevin,
2/28/24,2/28/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.7,Fees,Kevin,
2/27/24,2/28/24,PET LOVERS CENTRE AMK,Merchandise & Inventory,-23.57,Charlie,Both,
2/27/24,2/27/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/22/24,2/27/24,BUS/MRT 394940306,Travel,-2.88,Transport,Kevin,
2/27/24,2/27/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/23/24,2/27/24,BUS/MRT 395516608,Travel,-2.88,Transport,Kevin,
2/26/24,2/26/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-1.52,Fees,Kevin,
2/25/24,2/26/24,FAIRPRICE XTRA-AMK,Food & Drink,-50.84,Groceries,Both,
2/26/24,2/26/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.63,Fees,Kevin,
2/25/24,2/26/24,FAIRPRICE XTRA-AMK,Food & Drink,-21.12,Groceries,Both,
2/26/24,2/26/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.15,Fees,Kevin,
2/25/24,2/26/24,FAIRPRICE XTRA-AMK,Food & Drink,-5.2,Groceries,Both,
2/26/24,2/26/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-2.06,Fees,Kevin,
2/25/24,2/26/24,KOMMUNITY PTE LTD,Food & Drink,-68.81,Food,Kevin,
2/25/24,2/25/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.07,Fees,Kevin,
2/20/24,2/25/24,BUS/MRT 393862374,Travel,-2.55,Transport,Kevin,
2/25/24,2/25/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.05,Fees,Kevin,
2/23/24,2/25/24,MCDONALD'S (AMK),Food & Drink,-1.79,Food,Both,
2/23/24,2/25/24,PAYPAL *DAI SAE HEI,Merchandise & Inventory,-133.81,Food,Both,
2/25/24,2/25/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.03,Fees,Kevin,
2/23/24,2/25/24,CURATE KITCHEN,Food & Drink,-1.12,Food,Kevin,
2/25/24,2/25/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.1,Fees,Kevin,
2/24/24,2/25/24,CHICHA SAN CHEN - AMK HUB,Food & Drink,-3.58,Food,Kevin,
2/25/24,2/25/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-5.12,Fees,Kevin,
2/24/24,2/25/24,SP SUSY + BAE,Merchandise & Inventory,-170.69,Shopping,Mon,
2/25/24,2/25/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.11,Fees,Kevin,
2/24/24,2/25/24,KOPITIAM @ LAU PA SAT,Food & Drink,-3.95,Food,Kevin,
2/25/24,2/25/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/21/24,2/25/24,BUS/MRT 394395633,Travel,-2.88,Transport,Kevin,
2/25/24,2/25/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/23/24,2/25/24,MCDONALD'S (AMK),Food & Drink,-2.69,Food,Both,
2/23/24,2/23/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/19/24,2/23/24,BUS/MRT 393338675,Travel,-2.9,Transport,Kevin,
2/23/24,2/23/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
2/22/24,2/23/24,CURATE KITCHEN,Food & Drink,-1.49,Food,Kevin,
2/22/24,2/22/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/18/24,2/22/24,BUS/MRT 392887436,Travel,-2.87,Transport,Kevin,
2/22/24,2/22/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.03,Fees,Kevin,
2/21/24,2/22/24,CURATE KITCHEN,Food & Drink,-1.12,Food,Kevin,
2/21/24,2/21/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.05,Fees,Kevin,
2/20/24,2/21/24,CURATE KITCHEN,Food & Drink,-1.86,Food,Kevin,
2/20/24,2/20/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
2/19/24,2/20/24,CURATE KITCHEN,Food & Drink,-1.49,Food,Kevin,
2/20/24,2/20/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-8.61,Fees,Kevin,
2/19/24,2/20/24,SINGAPOREAIR6182450469173,Travel,-287.22,Travel,Aunty,
2/20/24,2/20/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.52,Fees,Kevin,
2/19/24,2/20/24,KOPITIAM@AMKH,Food & Drink,-17.59,Food,Kevin,
2/20/24,2/20/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-40.16,Fees,Kevin,
2/19/24,2/20/24,IMPACT MMA* IMPACTMIXE,Education,-1338.69,Health,Kevin,
2/20/24,2/20/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/16/24,2/20/24,BUS/MRT 391858238,Travel,-2.9,Transport,Kevin,
2/20/24,2/20/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.1,Fees,Kevin,
2/18/24,2/20/24,1872 CLIPPER TEA@ RC,Food & Drink,-3.57,Food,Kevin,
2/19/24,2/19/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.7,Fees,Kevin,
2/18/24,2/19/24,H  M Hennes  Mauritz Pt,Merchandise & Inventory,-23.43,Shopping,Both,
2/19/24,2/19/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.88,Fees,Kevin,
2/18/24,2/19/24,FAIRPRICE XTRA-AMK,Food & Drink,-29.37,Groceries,Both,
2/18/24,2/18/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.07,Fees,Kevin,
2/14/24,2/18/24,BUS/MRT 390933602,Travel,-2.63,Transport,Kevin,
2/18/24,2/18/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.13,Fees,Kevin,
2/17/24,2/18/24,CHICHA SAN CHEN - AMK HUB,Food & Drink,-4.61,Food,Kevin,
2/18/24,2/18/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.03,Fees,Kevin,
2/16/24,2/18/24,CURATE KITCHEN,Food & Drink,-1.12,Food,Kevin,
2/16/24,2/16/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.32,Fees,Kevin,
2/15/24,2/16/24,COMFORT/CITYCAB TAXI,Travel,-10.69,Transport,Both,
2/16/24,2/16/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-1.28,Fees,Kevin,
2/14/24,2/16/24,O CHICKEN &amp; BEER,Food & Drink,-42.67,Food,Both,
2/16/24,2/16/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.46,Fees,Kevin,
2/15/24,2/16/24,COMFORT/CITYCAB TAXI,Travel,-15.51,Transport,Both,
2/16/24,2/16/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-1.72,Fees,Kevin,
2/15/24,2/16/24,VET CENTRAL PTE LTD,Miscellaneous,-57.45,Charlie,Both,
2/16/24,2/16/24,Payment Thank You-Mobile,,1460.07,Payment,,
2/15/24,2/15/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
